estacion,anio,mes,codigo_estacion,departamento,trafico_total
ACAPULCO,2005,,00001,CALDAS,
AGUAS NEGRAS,2005,,00045,SANTANDER,
ALTAMIRA,2005,,00002,HUILA,
ALVARADO,2005,,00003,TOLIMA,
AMAGA,2005,,00004,ANTIOQUIA,
ARCABUCO,2005,,00005,BOYACA,
BAYUNCA,2005,,#N/D,BOLIVAR,
BICENTENARIO,2005,,00006,CUNDINAMARCA,
CAIQUERO,2005,,#N/D,CUNDINAMARCA,
CAJAMARCA,2005,,00007,TOLIMA,
CALAMAR,2005,,00008,BOLIVAR,
CANO,2005,,00045,NARIÑO,
CARIMAGUA,2005,,00009,CORDOBA,
CERRITOS II,2005,,00066,RISARALDA,
CISNEROS,2005,,00011,ANTIOQUIA,
COPEY,2005,,#N/D,CESAR,
CRUCERO,2005,,00012,BOYACA,
EL BORDO,2005,,00013,CAUCA,
EL CARMEN,2005,,00044,BOLIVAR,
EL DIFICIL,2005,,#N/D,MAGADALENA,
EL PLACER,2005,,00047,NARIÑO,
GALAPA,2005,,#N/D,ATLANTICO,
GAMBOTE,2005,,#N/D,BOLIVAR,
GUALANDAY,2005,,#N/D,TOLIMA,
HONDA,2005,,00014,TOLIMA,
LOS ACACIOS,2005,,#N/D,CORDOBA,
LA ESPERANZA,2005,,00017,SUCRE,
LA GOMEZ,2005,,00046,SANTANDER,
LA LOMA,2005,,#N/D,CESAR,
LA PINTADA,2005,,00018,ANTIOQUIA,
LEBRIJA,2005,,00021,SANTANDER,
LOBOGUERRERO,2005,,00065,VALLE DEL CAUCA,
LOS ACACIOS,2005,,#N/D,NORTE DE SANTANDER,
LOS CAUCHOS,2005,,00019,HUILA,
LOS CEDROS,2005,,#N/D,CORDOBA,
LOS LLANOS,2005,,00020,ANTIOQUIA,
MACHETA,2005,,00021,CUNDINAMARCA,
MATA DE CAÑA,2005,,00022,CORDOBA,
MORRISON,2005,,00047,CESAR,
PANDEQUESO,2005,,#N/D,ANTIOQUIA,
PICACHO,2005,,00024,SANTANDER,
PONEDERA,2005,,#N/D,ATLANTICO,
PRIMAVERA,2005,,00025,ANTIOQUIA,
PUENTE PLATO,2005,,#N/D,MAGADALENA,
PUERTO BERRIO,2005,,00026,ANTIOQUIA,
PURGATORIO,2005,,#N/D,CORDOBA,
RIO BLANCO,2005,,00027,SANTANDER,
RIO FRIO,2005,,00028,VALLE DEL CAUCA,
RIO NEGRO,2005,,00047,SANTANDER,
RIO SINU,2005,,#N/D,CORDOBA,
RIO SOGAMOSO,2005,,00029,SANTANDER,
SACHICA,2005,,00030,BOYACA,
SAN JUAN,2005,,00032,LA GUAJIRA,
SAN ONOFRE,2005,,00033,SUCRE,
SAN PEDRO,2005,,00034,CASANARE,
SANCLEMENTE,2005,,#N/D,RISARALDA,
SUPIA,2005,,00035,CALDAS,
TARAPACA,2005,,#N/D,CALDAS,
TARAZA,2005,,00036,ANTIOQUIA,
TORO,2005,,00037,VALLE DEL CAUCA,
TUCURINCA,2005,,#N/D,MAGADALENA,
VALENCIA,2005,,#N/D,CESAR,
ZAMBITO,2005,,00044,SANTANDER,
ACAPULCO,2005,,00001,CALDAS,
AGUAS NEGRAS,2005,,00045,SANTANDER,
ALTAMIRA,2005,,00002,HUILA,
ALVARADO,2005,,00003,TOLIMA,
AMAGA,2005,,00004,ANTIOQUIA,
ARCABUCO,2005,,00005,BOYACA,
BAYUNCA,2005,,#N/D,BOLIVAR,
BICENTENARIO,2005,,00006,CUNDINAMARCA,
CAIQUERO,2005,,#N/D,CUNDINAMARCA,
CAJAMARCA,2005,,00007,TOLIMA,
CALAMAR,2005,,00008,BOLIVAR,
CANO,2005,,00045,NARIÑO,
CARIMAGUA,2005,,00009,CORDOBA,
CERRITOS II,2005,,00066,RISARALDA,
CISNEROS,2005,,00011,ANTIOQUIA,
COPEY,2005,,#N/D,CESAR,
CRUCERO,2005,,00012,BOYACA,
EL BORDO,2005,,00013,CAUCA,
EL CARMEN,2005,,00044,BOLIVAR,
EL DIFICIL,2005,,#N/D,MAGADALENA,
EL PLACER,2005,,00047,NARIÑO,
GALAPA,2005,,#N/D,ATLANTICO,
GAMBOTE,2005,,#N/D,BOLIVAR,
GUALANDAY,2005,,#N/D,TOLIMA,
HONDA,2005,,00014,TOLIMA,
LOS ACACIOS,2005,,#N/D,CORDOBA,
LA ESPERANZA,2005,,00017,SUCRE,
LA GOMEZ,2005,,00046,SANTANDER,
LA LOMA,2005,,#N/D,CESAR,
LA PINTADA,2005,,00018,ANTIOQUIA,
LEBRIJA,2005,,00021,SANTANDER,
LOBOGUERRERO,2005,,00065,VALLE DEL CAUCA,
LOS ACACIOS,2005,,#N/D,NORTE DE SANTANDER,
LOS CAUCHOS,2005,,00019,HUILA,
LOS CEDROS,2005,,#N/D,CORDOBA,
LOS LLANOS,2005,,00020,ANTIOQUIA,
MACHETA,2005,,00021,CUNDINAMARCA,
MATA DE CAÑA,2005,,00022,CORDOBA,
MORRISON,2005,,00047,CESAR,
PANDEQUESO,2005,,#N/D,ANTIOQUIA,
PICACHO,2005,,00024,SANTANDER,
PONEDERA,2005,,#N/D,ATLANTICO,
PRIMAVERA,2005,,00025,ANTIOQUIA,
PUENTE PLATO,2005,,#N/D,MAGADALENA,
PUERTO BERRIO,2005,,00026,ANTIOQUIA,
PURGATORIO,2005,,#N/D,CORDOBA,
RIO BLANCO,2005,,00027,SANTANDER,
RIO FRIO,2005,,00028,VALLE DEL CAUCA,
RIO NEGRO,2005,,00047,SANTANDER,
RIO SINU,2005,,#N/D,CORDOBA,
RIO SOGAMOSO,2005,,00029,SANTANDER,
SACHICA,2005,,00030,BOYACA,
SAN JUAN,2005,,00032,LA GUAJIRA,
SAN ONOFRE,2005,,00033,SUCRE,
SAN PEDRO,2005,,00034,CASANARE,
SANCLEMENTE,2005,,#N/D,RISARALDA,
SUPIA,2005,,00035,CALDAS,
TARAPACA,2005,,#N/D,CALDAS,
TARAZA,2005,,00036,ANTIOQUIA,
TORO,2005,,00037,VALLE DEL CAUCA,
TUCURINCA,2005,,#N/D,MAGADALENA,
VALENCIA,2005,,#N/D,CESAR,
ZAMBITO,2005,,00044,SANTANDER,
ACAPULCO,2005,,00001,CALDAS,
AGUAS NEGRAS,2005,,00045,SANTANDER,
ALTAMIRA,2005,,00002,HUILA,
ALVARADO,2005,,00003,TOLIMA,
AMAGA,2005,,00004,ANTIOQUIA,
ARCABUCO,2005,,00005,BOYACA,
BAYUNCA,2005,,#N/D,BOLIVAR,
BICENTENARIO,2005,,00006,CUNDINAMARCA,
CAIQUERO,2005,,#N/D,CUNDINAMARCA,
CAJAMARCA,2005,,00007,TOLIMA,
CALAMAR,2005,,00008,BOLIVAR,
CANO,2005,,00045,NARIÑO,
CARIMAGUA,2005,,00009,CORDOBA,
CERRITOS II,2005,,00066,RISARALDA,
CISNEROS,2005,,00011,ANTIOQUIA,
COPEY,2005,,#N/D,CESAR,
CRUCERO,2005,,00012,BOYACA,
EL BORDO,2005,,00013,CAUCA,
EL CARMEN,2005,,00044,BOLIVAR,
EL DIFICIL,2005,,#N/D,MAGADALENA,
EL PLACER,2005,,00047,NARIÑO,
GALAPA,2005,,#N/D,ATLANTICO,
GAMBOTE,2005,,#N/D,BOLIVAR,
GUALANDAY,2005,,#N/D,TOLIMA,
HONDA,2005,,00014,TOLIMA,
LOS ACACIOS,2005,,#N/D,CORDOBA,
LA ESPERANZA,2005,,00017,SUCRE,
LA GOMEZ,2005,,00046,SANTANDER,
LA LOMA,2005,,#N/D,CESAR,
LA PINTADA,2005,,00018,ANTIOQUIA,
LEBRIJA,2005,,00021,SANTANDER,
LOBOGUERRERO,2005,,00065,VALLE DEL CAUCA,
LOS ACACIOS,2005,,#N/D,NORTE DE SANTANDER,
LOS CAUCHOS,2005,,00019,HUILA,
LOS CEDROS,2005,,#N/D,CORDOBA,
LOS LLANOS,2005,,00020,ANTIOQUIA,
MACHETA,2005,,00021,CUNDINAMARCA,
MATA DE CAÑA,2005,,00022,CORDOBA,
MORRISON,2005,,00047,CESAR,
PANDEQUESO,2005,,#N/D,ANTIOQUIA,
PICACHO,2005,,00024,SANTANDER,
PONEDERA,2005,,#N/D,ATLANTICO,
PRIMAVERA,2005,,00025,ANTIOQUIA,
PUENTE PLATO,2005,,#N/D,MAGADALENA,
PUERTO BERRIO,2005,,00026,ANTIOQUIA,
PURGATORIO,2005,,#N/D,CORDOBA,
RIO BLANCO,2005,,00027,SANTANDER,
RIO FRIO,2005,,00028,VALLE DEL CAUCA,
RIO NEGRO,2005,,00047,SANTANDER,
RIO SINU,2005,,#N/D,CORDOBA,
RIO SOGAMOSO,2005,,00029,SANTANDER,
SACHICA,2005,,00030,BOYACA,
SAN JUAN,2005,,00032,LA GUAJIRA,
SAN ONOFRE,2005,,00033,SUCRE,
SAN PEDRO,2005,,00034,CASANARE,
SANCLEMENTE,2005,,#N/D,RISARALDA,
SUPIA,2005,,00035,CALDAS,
TARAPACA,2005,,#N/D,CALDAS,
TARAZA,2005,,00036,ANTIOQUIA,
TORO,2005,,00037,VALLE DEL CAUCA,
TUCURINCA,2005,,#N/D,MAGADALENA,
VALENCIA,2005,,#N/D,CESAR,
ZAMBITO,2005,,00044,SANTANDER,
ACAPULCO,2005,,00001,CALDAS,
AGUAS NEGRAS,2005,,00045,SANTANDER,
ALTAMIRA,2005,,00002,HUILA,
ALVARADO,2005,,00003,TOLIMA,
AMAGA,2005,,00004,ANTIOQUIA,
ARCABUCO,2005,,00005,BOYACA,
BAYUNCA,2005,,#N/D,BOLIVAR,
BICENTENARIO,2005,,00006,CUNDINAMARCA,
CAIQUERO,2005,,#N/D,CUNDINAMARCA,
CAJAMARCA,2005,,00007,TOLIMA,
CALAMAR,2005,,00008,BOLIVAR,
CANO,2005,,00045,NARIÑO,
CARIMAGUA,2005,,00009,CORDOBA,
CERRITOS II,2005,,00066,RISARALDA,
CISNEROS,2005,,00011,ANTIOQUIA,
COPEY,2005,,#N/D,CESAR,
CRUCERO,2005,,00012,BOYACA,
EL BORDO,2005,,00013,CAUCA,
EL CARMEN,2005,,00044,BOLIVAR,
EL DIFICIL,2005,,#N/D,MAGADALENA,
EL PLACER,2005,,00047,NARIÑO,
GALAPA,2005,,#N/D,ATLANTICO,
GAMBOTE,2005,,#N/D,BOLIVAR,
GUALANDAY,2005,,#N/D,TOLIMA,
HONDA,2005,,00014,TOLIMA,
LOS ACACIOS,2005,,#N/D,CORDOBA,
LA ESPERANZA,2005,,00017,SUCRE,
LA GOMEZ,2005,,00046,SANTANDER,
LA LOMA,2005,,#N/D,CESAR,
LA PINTADA,2005,,00018,ANTIOQUIA,
LEBRIJA,2005,,00021,SANTANDER,
LOBOGUERRERO,2005,,00065,VALLE DEL CAUCA,
LOS ACACIOS,2005,,#N/D,NORTE DE SANTANDER,
LOS CAUCHOS,2005,,00019,HUILA,
LOS CEDROS,2005,,#N/D,CORDOBA,
LOS LLANOS,2005,,00020,ANTIOQUIA,
MACHETA,2005,,00021,CUNDINAMARCA,
MATA DE CAÑA,2005,,00022,CORDOBA,
MORRISON,2005,,00047,CESAR,
PANDEQUESO,2005,,#N/D,ANTIOQUIA,
PICACHO,2005,,00024,SANTANDER,
PONEDERA,2005,,#N/D,ATLANTICO,
PRIMAVERA,2005,,00025,ANTIOQUIA,
PUENTE PLATO,2005,,#N/D,MAGADALENA,
PUERTO BERRIO,2005,,00026,ANTIOQUIA,
PURGATORIO,2005,,#N/D,CORDOBA,
RIO BLANCO,2005,,00027,SANTANDER,
RIO FRIO,2005,,00028,VALLE DEL CAUCA,
RIO NEGRO,2005,,00047,SANTANDER,
RIO SINU,2005,,#N/D,CORDOBA,
RIO SOGAMOSO,2005,,00029,SANTANDER,
SACHICA,2005,,00030,BOYACA,
SAN JUAN,2005,,00032,LA GUAJIRA,
SAN ONOFRE,2005,,00033,SUCRE,
SAN PEDRO,2005,,00034,CASANARE,
SANCLEMENTE,2005,,#N/D,RISARALDA,
SUPIA,2005,,00035,CALDAS,
TARAPACA,2005,,#N/D,CALDAS,
TARAZA,2005,,00036,ANTIOQUIA,
TORO,2005,,00037,VALLE DEL CAUCA,
TUCURINCA,2005,,#N/D,MAGADALENA,
VALENCIA,2005,,#N/D,CESAR,
ZAMBITO,2005,,00044,SANTANDER,
ACAPULCO,2005,,00001,CALDAS,
AGUAS NEGRAS,2005,,00045,SANTANDER,
ALTAMIRA,2005,,00002,HUILA,
ALVARADO,2005,,00003,TOLIMA,
AMAGA,2005,,00004,ANTIOQUIA,
ARCABUCO,2005,,00005,BOYACA,
BAYUNCA,2005,,#N/D,BOLIVAR,
BICENTENARIO,2005,,00006,CUNDINAMARCA,
CAIQUERO,2005,,#N/D,CUNDINAMARCA,
CAJAMARCA,2005,,00007,TOLIMA,
CALAMAR,2005,,00008,BOLIVAR,
CANO,2005,,00045,NARIÑO,
CARIMAGUA,2005,,00009,CORDOBA,
CERRITOS II,2005,,00066,RISARALDA,
CISNEROS,2005,,00011,ANTIOQUIA,
COPEY,2005,,#N/D,CESAR,
CRUCERO,2005,,00012,BOYACA,
EL BORDO,2005,,00013,CAUCA,
EL CARMEN,2005,,00044,BOLIVAR,
EL DIFICIL,2005,,#N/D,MAGADALENA,
EL PLACER,2005,,00047,NARIÑO,
GALAPA,2005,,#N/D,ATLANTICO,
GAMBOTE,2005,,#N/D,BOLIVAR,
GUALANDAY,2005,,#N/D,TOLIMA,
HONDA,2005,,00014,TOLIMA,
LOS ACACIOS,2005,,#N/D,CORDOBA,
LA ESPERANZA,2005,,00017,SUCRE,
LA GOMEZ,2005,,00046,SANTANDER,
LA LOMA,2005,,#N/D,CESAR,
LA PINTADA,2005,,00018,ANTIOQUIA,
LEBRIJA,2005,,00021,SANTANDER,
LOBOGUERRERO,2005,,00065,VALLE DEL CAUCA,
LOS ACACIOS,2005,,#N/D,NORTE DE SANTANDER,
LOS CAUCHOS,2005,,00019,HUILA,
LOS CEDROS,2005,,#N/D,CORDOBA,
LOS LLANOS,2005,,00020,ANTIOQUIA,
MACHETA,2005,,00021,CUNDINAMARCA,
MATA DE CAÑA,2005,,00022,CORDOBA,
MORRISON,2005,,00047,CESAR,
PANDEQUESO,2005,,#N/D,ANTIOQUIA,
PICACHO,2005,,00024,SANTANDER,
PONEDERA,2005,,#N/D,ATLANTICO,
PRIMAVERA,2005,,00025,ANTIOQUIA,
PUENTE PLATO,2005,,#N/D,MAGADALENA,
PUERTO BERRIO,2005,,00026,ANTIOQUIA,
PURGATORIO,2005,,#N/D,CORDOBA,
RIO BLANCO,2005,,00027,SANTANDER,
RIO FRIO,2005,,00028,VALLE DEL CAUCA,
RIO NEGRO,2005,,00047,SANTANDER,
RIO SINU,2005,,#N/D,CORDOBA,
RIO SOGAMOSO,2005,,00029,SANTANDER,
SACHICA,2005,,00030,BOYACA,
SAN JUAN,2005,,00032,LA GUAJIRA,
SAN ONOFRE,2005,,00033,SUCRE,
SAN PEDRO,2005,,00034,CASANARE,
SANCLEMENTE,2005,,#N/D,RISARALDA,
SUPIA,2005,,00035,CALDAS,
TARAPACA,2005,,#N/D,CALDAS,
TARAZA,2005,,00036,ANTIOQUIA,
TORO,2005,,00037,VALLE DEL CAUCA,
TUCURINCA,2005,,#N/D,MAGADALENA,
VALENCIA,2005,,#N/D,CESAR,
ZAMBITO,2005,,00044,SANTANDER,
ACAPULCO,2005,,00001,CALDAS,
AGUAS NEGRAS,2005,,00045,SANTANDER,
ALTAMIRA,2005,,00002,HUILA,
ALVARADO,2005,,00003,TOLIMA,
AMAGA,2005,,00004,ANTIOQUIA,
ARCABUCO,2005,,00005,BOYACA,
BAYUNCA,2005,,#N/D,BOLIVAR,
BICENTENARIO,2005,,00006,CUNDINAMARCA,
CAIQUERO,2005,,#N/D,CUNDINAMARCA,
CAJAMARCA,2005,,00007,TOLIMA,
CALAMAR,2005,,00008,BOLIVAR,
CANO,2005,,00045,NARIÑO,
CARIMAGUA,2005,,00009,CORDOBA,
CERRITOS II,2005,,00066,RISARALDA,
CISNEROS,2005,,00011,ANTIOQUIA,
COPEY,2005,,#N/D,CESAR,
CRUCERO,2005,,00012,BOYACA,
EL BORDO,2005,,00013,CAUCA,
EL CARMEN,2005,,00044,BOLIVAR,
EL DIFICIL,2005,,#N/D,MAGADALENA,
EL PLACER,2005,,00047,NARIÑO,
GALAPA,2005,,#N/D,ATLANTICO,
GAMBOTE,2005,,#N/D,BOLIVAR,
GUALANDAY,2005,,#N/D,TOLIMA,
HONDA,2005,,00014,TOLIMA,
LOS ACACIOS,2005,,#N/D,CORDOBA,
LA ESPERANZA,2005,,00017,SUCRE,
LA GOMEZ,2005,,00046,SANTANDER,
LA LOMA,2005,,#N/D,CESAR,
LA PINTADA,2005,,00018,ANTIOQUIA,
LEBRIJA,2005,,00021,SANTANDER,
LOBOGUERRERO,2005,,00065,VALLE DEL CAUCA,
LOS ACACIOS,2005,,#N/D,NORTE DE SANTANDER,
LOS CAUCHOS,2005,,00019,HUILA,
LOS CEDROS,2005,,#N/D,CORDOBA,
VALENCIA,2011,,#N/D,CESAR,
LOS LLANOS,2005,,00020,ANTIOQUIA,
MACHETA,2005,,00021,CUNDINAMARCA,
MATA DE CAÑA,2005,,00022,CORDOBA,
MORRISON,2005,,00047,CESAR,
PANDEQUESO,2005,,#N/D,ANTIOQUIA,
PICACHO,2005,,00024,SANTANDER,
PONEDERA,2005,,#N/D,ATLANTICO,
PRIMAVERA,2005,,00025,ANTIOQUIA,
PUENTE PLATO,2005,,#N/D,MAGADALENA,
PUERTO BERRIO,2005,,00026,ANTIOQUIA,
PURGATORIO,2005,,#N/D,CORDOBA,
RIO BLANCO,2005,,00027,SANTANDER,
RIO FRIO,2005,,00028,VALLE DEL CAUCA,
RIO NEGRO,2005,,00047,SANTANDER,
RIO SINU,2005,,#N/D,CORDOBA,
RIO SOGAMOSO,2005,,00029,SANTANDER,
SACHICA,2005,,00030,BOYACA,
SAN JUAN,2005,,00032,LA GUAJIRA,
SAN ONOFRE,2005,,00033,SUCRE,
SAN PEDRO,2005,,00034,CASANARE,
SANCLEMENTE,2005,,#N/D,RISARALDA,
SUPIA,2005,,00035,CALDAS,
TARAPACA,2005,,#N/D,CALDAS,
TARAZA,2005,,00036,ANTIOQUIA,
TORO,2005,,00037,VALLE DEL CAUCA,
TUCURINCA,2005,,#N/D,MAGADALENA,
VALENCIA,2005,,#N/D,CESAR,
ZAMBITO,2005,,00044,SANTANDER,
ACAPULCO,2005,,00001,CALDAS,
AGUAS NEGRAS,2005,,00045,SANTANDER,
ALTAMIRA,2005,,00002,HUILA,
ALVARADO,2005,,00003,TOLIMA,
AMAGA,2005,,00004,ANTIOQUIA,
ARCABUCO,2005,,00005,BOYACA,
BAYUNCA,2005,,#N/D,BOLIVAR,
BICENTENARIO,2005,,00006,CUNDINAMARCA,
CAIQUERO,2005,,#N/D,CUNDINAMARCA,
CAJAMARCA,2005,,00007,TOLIMA,
CALAMAR,2005,,00008,BOLIVAR,
CANO,2005,,00045,NARIÑO,
CARIMAGUA,2005,,00009,CORDOBA,
CERRITOS II,2005,,00066,RISARALDA,
CISNEROS,2005,,00011,ANTIOQUIA,
COPEY,2005,,#N/D,CESAR,
CRUCERO,2005,,00012,BOYACA,
EL BORDO,2005,,00013,CAUCA,
EL CARMEN,2005,,00044,BOLIVAR,
EL DIFICIL,2005,,#N/D,MAGADALENA,
EL PLACER,2005,,00047,NARIÑO,
GALAPA,2005,,#N/D,ATLANTICO,
GAMBOTE,2005,,#N/D,BOLIVAR,
GUALANDAY,2005,,#N/D,TOLIMA,
HONDA,2005,,00014,TOLIMA,
LOS ACACIOS,2005,,#N/D,CORDOBA,
LA ESPERANZA,2005,,00017,SUCRE,
LA GOMEZ,2005,,00046,SANTANDER,
LA LOMA,2005,,#N/D,CESAR,
LA PINTADA,2005,,00018,ANTIOQUIA,
LEBRIJA,2005,,00021,SANTANDER,
LOBOGUERRERO,2005,,00065,VALLE DEL CAUCA,
LOS ACACIOS,2005,,#N/D,NORTE DE SANTANDER,
LOS CAUCHOS,2005,,00019,HUILA,
LOS CEDROS,2005,,#N/D,CORDOBA,
LOS LLANOS,2005,,00020,ANTIOQUIA,
MACHETA,2005,,00021,CUNDINAMARCA,
MATA DE CAÑA,2005,,00022,CORDOBA,
MORRISON,2005,,00047,CESAR,
PANDEQUESO,2005,,#N/D,ANTIOQUIA,
PICACHO,2005,,00024,SANTANDER,
PONEDERA,2005,,#N/D,ATLANTICO,
PRIMAVERA,2005,,00025,ANTIOQUIA,
PUENTE PLATO,2005,,#N/D,MAGADALENA,
PUERTO BERRIO,2005,,00026,ANTIOQUIA,
PURGATORIO,2005,,#N/D,CORDOBA,
RIO BLANCO,2005,,00027,SANTANDER,
RIO FRIO,2005,,00028,VALLE DEL CAUCA,
RIO NEGRO,2005,,00047,SANTANDER,
RIO SINU,2005,,#N/D,CORDOBA,
RIO SOGAMOSO,2005,,00029,SANTANDER,
SACHICA,2005,,00030,BOYACA,
SAN JUAN,2005,,00032,LA GUAJIRA,
SAN ONOFRE,2005,,00033,SUCRE,
SAN PEDRO,2005,,00034,CASANARE,
SANCLEMENTE,2005,,#N/D,RISARALDA,
SUPIA,2005,,00035,CALDAS,
TARAPACA,2005,,#N/D,CALDAS,
TARAZA,2005,,00036,ANTIOQUIA,
TORO,2005,,00037,VALLE DEL CAUCA,
TUCURINCA,2005,,#N/D,MAGADALENA,
VALENCIA,2005,,#N/D,CESAR,
ZAMBITO,2005,,00044,SANTANDER,
ACAPULCO,2005,,00001,CALDAS,
AGUAS NEGRAS,2005,,00045,SANTANDER,
ALTAMIRA,2005,,00002,HUILA,
ALVARADO,2005,,00003,TOLIMA,
AMAGA,2005,,00004,ANTIOQUIA,
ARCABUCO,2005,,00005,BOYACA,
BAYUNCA,2005,,#N/D,BOLIVAR,
BICENTENARIO,2005,,00006,CUNDINAMARCA,
CAIQUERO,2005,,#N/D,CUNDINAMARCA,
CAJAMARCA,2005,,00007,TOLIMA,
CALAMAR,2005,,00008,BOLIVAR,
CANO,2005,,00045,NARIÑO,
CARIMAGUA,2005,,00009,CORDOBA,
CERRITOS II,2005,,00066,RISARALDA,
CISNEROS,2005,,00011,ANTIOQUIA,
COPEY,2005,,#N/D,CESAR,
CRUCERO,2005,,00012,BOYACA,
EL BORDO,2005,,00013,CAUCA,
EL CARMEN,2005,,00044,BOLIVAR,
EL DIFICIL,2005,,#N/D,MAGADALENA,
EL PLACER,2005,,00047,NARIÑO,
GALAPA,2005,,#N/D,ATLANTICO,
GAMBOTE,2005,,#N/D,BOLIVAR,
GUALANDAY,2005,,#N/D,TOLIMA,
HONDA,2005,,00014,TOLIMA,
LOS ACACIOS,2005,,#N/D,CORDOBA,
LA ESPERANZA,2005,,00017,SUCRE,
LA GOMEZ,2005,,00046,SANTANDER,
LA LOMA,2005,,#N/D,CESAR,
LA PINTADA,2005,,00018,ANTIOQUIA,
LEBRIJA,2005,,00021,SANTANDER,
LOBOGUERRERO,2005,,00065,VALLE DEL CAUCA,
LOS ACACIOS,2005,,#N/D,NORTE DE SANTANDER,
LOS CAUCHOS,2005,,00019,HUILA,
LOS CEDROS,2005,,#N/D,CORDOBA,
LOS LLANOS,2005,,00020,ANTIOQUIA,
MACHETA,2005,,00021,CUNDINAMARCA,
MATA DE CAÑA,2005,,00022,CORDOBA,
MORRISON,2005,,00047,CESAR,
PANDEQUESO,2005,,#N/D,ANTIOQUIA,
PICACHO,2005,,00024,SANTANDER,
PONEDERA,2005,,#N/D,ATLANTICO,
PRIMAVERA,2005,,00025,ANTIOQUIA,
PUENTE PLATO,2005,,#N/D,MAGADALENA,
PUERTO BERRIO,2005,,00026,ANTIOQUIA,
PURGATORIO,2005,,#N/D,CORDOBA,
RIO BLANCO,2005,,00027,SANTANDER,
RIO FRIO,2005,,00028,VALLE DEL CAUCA,
RIO NEGRO,2005,,00047,SANTANDER,
RIO SINU,2005,,#N/D,CORDOBA,
RIO SOGAMOSO,2005,,00029,SANTANDER,
SACHICA,2005,,00030,BOYACA,
SAN JUAN,2005,,00032,LA GUAJIRA,
SAN ONOFRE,2005,,00033,SUCRE,
SAN PEDRO,2005,,00034,CASANARE,
SANCLEMENTE,2005,,#N/D,RISARALDA,
SUPIA,2005,,00035,CALDAS,
TARAPACA,2005,,#N/D,CALDAS,
TARAZA,2005,,00036,ANTIOQUIA,
TORO,2005,,00037,VALLE DEL CAUCA,
TUCURINCA,2005,,#N/D,MAGADALENA,
VALENCIA,2005,,#N/D,CESAR,
ZAMBITO,2005,,00044,SANTANDER,
ACAPULCO,2005,,00001,CALDAS,
AGUAS NEGRAS,2005,,00045,SANTANDER,
ALTAMIRA,2005,,00002,HUILA,
ALVARADO,2005,,00003,TOLIMA,
AMAGA,2005,,00004,ANTIOQUIA,
ARCABUCO,2005,,00005,BOYACA,
BAYUNCA,2005,,#N/D,BOLIVAR,
BICENTENARIO,2005,,00006,CUNDINAMARCA,
CAIQUERO,2005,,#N/D,CUNDINAMARCA,
CAJAMARCA,2005,,00007,TOLIMA,
CALAMAR,2005,,00008,BOLIVAR,
CANO,2005,,00045,NARIÑO,
CARIMAGUA,2005,,00009,CORDOBA,
CERRITOS II,2005,,00066,RISARALDA,
CISNEROS,2005,,00011,ANTIOQUIA,
COPEY,2005,,#N/D,CESAR,
CRUCERO,2005,,00012,BOYACA,
EL BORDO,2005,,00013,CAUCA,
EL CARMEN,2005,,00044,BOLIVAR,
EL DIFICIL,2005,,#N/D,MAGADALENA,
EL PLACER,2005,,00047,NARIÑO,
GALAPA,2005,,#N/D,ATLANTICO,
GAMBOTE,2005,,#N/D,BOLIVAR,
GUALANDAY,2005,,#N/D,TOLIMA,
HONDA,2005,,00014,TOLIMA,
LOS ACACIOS,2005,,#N/D,CORDOBA,
LA ESPERANZA,2005,,00017,SUCRE,
LA GOMEZ,2005,,00046,SANTANDER,
LA LOMA,2005,,#N/D,CESAR,
LA PINTADA,2005,,00018,ANTIOQUIA,
LEBRIJA,2005,,00021,SANTANDER,
LOBOGUERRERO,2005,,00065,VALLE DEL CAUCA,
LOS ACACIOS,2005,,#N/D,NORTE DE SANTANDER,
LOS CAUCHOS,2005,,00019,HUILA,
LOS CEDROS,2005,,#N/D,CORDOBA,
LOS LLANOS,2005,,00020,ANTIOQUIA,
MACHETA,2005,,00021,CUNDINAMARCA,
MATA DE CAÑA,2005,,00022,CORDOBA,
MORRISON,2005,,00047,CESAR,
PANDEQUESO,2005,,#N/D,ANTIOQUIA,
PICACHO,2005,,00024,SANTANDER,
PONEDERA,2005,,#N/D,ATLANTICO,
PRIMAVERA,2005,,00025,ANTIOQUIA,
PUENTE PLATO,2005,,#N/D,MAGADALENA,
PUERTO BERRIO,2005,,00026,ANTIOQUIA,
PURGATORIO,2005,,#N/D,CORDOBA,
RIO BLANCO,2005,,00027,SANTANDER,
RIO FRIO,2005,,00028,VALLE DEL CAUCA,
RIO NEGRO,2005,,00047,SANTANDER,
RIO SINU,2005,,#N/D,CORDOBA,
RIO SOGAMOSO,2005,,00029,SANTANDER,
SACHICA,2005,,00030,BOYACA,
SAN JUAN,2005,,00032,LA GUAJIRA,
SAN ONOFRE,2005,,00033,SUCRE,
SAN PEDRO,2005,,00034,CASANARE,
SANCLEMENTE,2005,,#N/D,RISARALDA,
SUPIA,2005,,00035,CALDAS,
TARAPACA,2005,,#N/D,CALDAS,
TARAZA,2005,,00036,ANTIOQUIA,
TORO,2005,,00037,VALLE DEL CAUCA,
TUCURINCA,2005,,#N/D,MAGADALENA,
VALENCIA,2005,,#N/D,CESAR,
ZAMBITO,2005,,00044,SANTANDER,
ACAPULCO,2005,,00001,CALDAS,
AGUAS NEGRAS,2005,,00045,SANTANDER,
